"","CNT","CNTSTUID","CNTSCHID","ST004D01T","ST001D01T","DISCLIM","ANXMAT","ICTRES","ESCS","PV1MATH","ST259Q01JA","ICTSCH","ICTHOME","ICTQUAL","W_FSTUWT","SCHSEL","SCHLTYPE","W_SCHGRNRABWT"
"16484","CAN",12427922,12400092,1,10,NA,NA,0.2242,0.9618,446.206,NA,NA,NA,NA,1.32409,NA,3,1.00673
"16485","CAN",12427925,12400103,1,10,0.1548,0.3729,0.2254,1.0134,462.909,NA,NA,NA,NA,8.03056,3,3,1
"16486","CAN",12427927,12400180,2,10,1.6526,0.3378,1.6417,1.2392,665.931,NA,NA,NA,NA,23.9897,NA,3,3.79929
"16487","CAN",12427928,12400732,2,10,NA,NA,NA,NA,519.511,NA,NA,NA,NA,5.45317,1,3,1.11972
"16488","CAN",12427931,12400178,1,10,-0.669,1.4533,0.1683,0.6289,539.097,NA,NA,NA,NA,31.37873,1,3,2.50969
"16489","CAN",12427935,12400307,1,10,-0.6928,-0.5006,-0.3776,1.0306,561.426,NA,NA,NA,NA,10.29088,2,3,1.26327
"16490","CAN",12427936,12400437,1,10,0.801,-0.9755,0.949,1.243,564.92,NA,NA,NA,NA,4.58415,2,3,1.01499
"16491","CAN",12427938,12400113,1,10,-0.4809,0.1748,0.6225,0.1911,374.577,NA,NA,NA,NA,2.16289,3,3,1
"16492","CAN",12427939,12400778,2,9,-0.4735,-0.4577,-0.95,-1.1118,426.06,NA,NA,NA,NA,4.29452,1,3,1.01209
"16493","CAN",12427941,12400239,2,10,0.4821,0.429,0.6768,1.1619,513.453,NA,NA,NA,NA,1.76768,NA,3,1
"16494","CAN",12427944,12400879,1,10,-0.0691,-0.3744,2.6384,0.1397,442.65,NA,NA,NA,NA,34.8143,3,3,6.3166
"16495","CAN",12427945,12400257,1,10,NA,NA,0.8927,0.2169,334.648,NA,NA,NA,NA,2.32907,1,3,1.01499
"16496","CAN",12427948,12400333,2,10,1.1687,-0.3744,-0.1547,0.2924,467.823,NA,NA,NA,NA,4.1569,1,3,1
"16497","CAN",12427949,12400109,2,10,NA,NA,NA,NA,543.433,NA,NA,NA,NA,14.906,1,3,1.08377
"16498","CAN",12427950,12400761,1,10,-1.0127,0.6566,1.0805,0.1616,475.67,NA,NA,NA,NA,30.55,1,3,10.03961
"16499","CAN",12427953,12400721,1,10,-0.0784,1.2587,-0.6148,-1.297,278.451,NA,NA,NA,NA,21.30519,3,3,4.18539
"16500","CAN",12427954,12400013,1,10,-2.4425,0.6387,1.1436,1.0091,440.819,NA,NA,NA,NA,5.07316,NA,3,1.01209
"16501","CAN",12427955,12400558,1,10,-0.8779,0.051,-1.6328,-1.8352,434.872,NA,NA,NA,NA,4.54166,3,3,1.01499
"16502","CAN",12427956,12400693,2,10,NA,NA,-1.0206,-0.4304,409.577,NA,NA,NA,NA,6.07052,1,3,1.02029
"16503","CAN",12427958,12400782,2,9,0.165,2.635,0.6464,-0.0763,486.833,NA,NA,NA,NA,19.5946,3,1,4.22039
"16504","CAN",12427960,12400799,1,10,0.3658,0.1031,-0.2973,-0.8642,471.416,NA,NA,NA,NA,17.08664,3,3,1.92183
"16505","CAN",12427961,12400261,2,10,-0.8516,-2.3945,0.5462,1.1349,625.64,NA,NA,NA,NA,4.08981,3,1,1
"16506","CAN",12427965,12400042,2,10,0.1777,-2.3755,1.1279,-0.208,504.527,NA,NA,NA,NA,1.73636,2,3,1.01499
"16507","CAN",12427969,12400680,1,10,NA,NA,0.2993,NA,358.868,NA,NA,NA,NA,1.39553,2,3,1
"16508","CAN",12427970,12400760,2,10,NA,NA,0.358,0.3294,328.689,NA,NA,NA,NA,7.65545,1,3,6.06312
"16509","CAN",12427971,12400558,2,9,NA,NA,-1.4319,-0.1046,300.255,NA,NA,NA,NA,4.14044,3,3,1.01499
"16510","CAN",12427972,12400335,2,10,NA,0.3378,-0.3938,1.0601,550.581,NA,NA,NA,NA,6.06535,1,3,4.44792
"16511","CAN",12427974,12400228,1,10,-0.1273,0.1031,-0.33,-1.1065,506.656,NA,NA,NA,NA,8.00454,1,3,1.02029
"16512","CAN",12427975,12400115,1,10,NA,NA,NA,NA,332.354,NA,NA,NA,NA,4.30441,1,3,1
"16513","CAN",12427976,12400427,2,10,NA,NA,4.3424,2.3165,545.63,NA,NA,NA,NA,34.05891,NA,3,3.30002
