"","STU_ID","SCH_ID","BYSTUWT","STRAT_ID","PSU","G10COHRT","BYGRDRPT","BYMATHSE","BYSES1","BYRACE","BYSEX","BYTXCSTD","BYRISKFC","BYSTEXP","BYINCOME"
"273",106113,-5,438.7593,106,1,1,1,-9,-0.37,7,1,57.37,1,7,11
"274",106114,-5,425.4231,106,1,1,0,0.781,0.34,7,2,61.08,1,5,9
"275",106115,-5,438.7593,106,1,1,0,-0.63,0.64,7,1,66.58,1,5,11
"276",106117,-5,0,106,1,1,1,-4,-4,-4,-4,59.48,-4,-4,12
"277",106119,-5,425.4231,106,1,1,0,-9,-0.27,7,2,50.76,0,5,10
"278",106122,-5,425.4231,106,1,1,0,0.37,0.33,7,2,49.67,2,5,9
"279",106124,-5,438.7593,106,1,1,0,0.571,0.51,7,1,51.55,0,6,10
"280",106125,-5,425.4231,106,1,1,98,0.121,0.23,7,2,60.67,-4,6,10
"281",106126,-5,425.4231,106,1,1,0,-9,-0.1,7,2,50.53,0,5,9
"282",106127,-5,425.4231,106,1,1,0,0.571,0.35,7,2,58.01,0,7,9
"283",106128,-5,425.4231,106,1,1,0,0.571,0.65,7,2,60.5,0,7,11
"284",106129,-5,425.4231,106,1,1,0,1.772,0.21,7,2,68.33,0,6,11
"285",106201,-5,202.174,106,2,1,0,0.571,-0.04,7,1,51.1,1,2,8
"286",106202,-5,202.174,106,2,1,0,1.772,-0.37,7,1,61.15,0,5,7
"287",106203,-5,199.4336,106,2,1,0,-9,0.19,7,2,59.11,0,6,11
"288",106204,-5,202.174,106,2,1,0,0.571,-0.26,7,1,47.38,0,5,8
"289",106206,-5,199.4336,106,2,1,98,-0.869,-0.72,7,2,58.02,-4,5,4
"290",106207,-5,202.174,106,2,1,0,-9,-0.38,7,1,53.68,1,5,10
"291",106208,-5,202.174,106,2,1,98,1.772,-0.67,7,1,63.08,-9,2,5
"292",106209,-5,202.174,106,2,1,98,1.772,0,2,1,60.37,-9,7,11
"293",106210,-5,202.174,106,2,1,0,-9,-0.6,7,1,51.88,0,5,10
"294",106211,-5,199.4336,106,2,1,0,0.36,-0.59,7,2,57.04,1,5,11
"295",106212,-5,202.174,106,2,1,1,-9,-0.68,6,1,48.29,3,5,6
"296",106213,-5,199.4336,106,2,1,0,-0.879,-0.94,7,2,59.79,1,6,6
"297",107101,-5,159.3455,107,1,1,0,-9,-0.54,7,2,62.55,1,5,9
"298",107102,-5,163.0778,107,1,1,0,-9,0.39,7,1,61.99,0,6,8
"299",107104,-5,159.3455,107,1,1,98,0.571,-0.5,7,2,38.25,-9,3,10
"300",107105,-5,163.0778,107,1,1,1,-9,-0.44,7,1,53.15,2,5,11
"301",107106,-5,163.0778,107,1,1,0,0.583,-0.59,7,1,46.08,1,5,8
