STU_ID,BIPOC,FEMALE,X1TXMTSCOR,X1SES,X1MTHID,X1MTHUTI,X1MTHEFF
11645, ,0, , , , , 
11651,0,0,50.143,-.0754,.6,.27,-.3
11653,1,1,48.8443,-1.4767,.03, , 
11656,1,1,56.1895,1.2786,-.57,-.13,-.17
11659,1,0,46.7106,.6846,0,1.31,-.17
11664,1,1,46.5632,-.1495,-1.73,-.13,-.97
11669,1,0,49.6408,.0561,1.76,1.31,1.34
11671,0,0,59.9308,.3358,-.57,.9,.1
11678, ,0, , , , , 
11679,0,1,52.1334,.6024,.6, , 
11680,1,1, , , , , 
11682,1,1,59.0024,-1.2051,.6,.9,1.62
11688,1,1,40.3135,-1.5209,-1.16,-.3,.51
11689,1,0,50.8767,.2238,1.16,-.3,.1
11692,1,1, , , , , 
11693, ,0, , , , , 
11694,1,1,30.2461,-.87,-1.73, , 
11701,1,1,40.7758,-.2033,-1.73,-.3,.1
11708, ,0, , , , , 
11716,0,1,48.7477,1.0925,-.57, , 
11719,0,1,40.3036,-1.118,-1.16,.9,-1.29
11720,0,0,53.7131,-.4488,.6, ,.1
11723, ,1, , , , , 
11729,0,1,54.014,1.351,0, , 
11730,1,0,55.7316,.3836,-1.13,.9,-.85
11736,0,1,56.1374,.5149,1.19,1.31,-.17
11737,0,1,47.6478,.307,-.57,-.13,-.17
11739,0,0,51.4936,-.5654,0,-.3,-.17
11742,0,1,67.376,1.1937,.6,.27,.49
11744,1,0,57.4439,-.6004,.6,.9,.1
11745,0,0,60.7953,1.5315,.6,-.7,1.62
11750,1,1,35.9497,-.7432,-1.73,-.76,-1.66
11751,1,1,49.9875,.1168,-.57, , 
11755,1,0,48.6935,-.1475,1.76,1.31,.49
11759,0,1,53.4436,.1783,.03,-.7,-.97
11760,0,1,51.7075,.4073,-1.13,-.13,-.97
11763,1,1,47.1826,-.9271,0,-.3,-.17
11769,1,0,71.9856,-.5813,1.76,1.31,1.62
11770,0,1,56.0055,-.6755,.6, , 
11777,0,0,46.1639,-.4016,.6,-.93, 
11779,0,1,57.4046,-.1789,.6,-.3,-.17
11782, ,0, , , , , 
11783,1,0,48.8816,-.311,-1.73, , 
11785,0,0,44.0123,-.3612,.6,.11,-.56
11787,0,1,51.9263,1.1973,.6,-1.5,.51
11788,1,1,50.7975,.0496,1.76,.67,1.34
11789,1,1,29.7193,-.7214,0, , 
11790, ,1, , , , , 
11797,1,0,63.8928,-.5434,.6, , 
11798,0,1,64.7691,.0955,1.19,.27,.55
11799,0,0,40.0347,-.2614,-1.73,-3.51,-2.92
11803,1,1,51.3042,.0944,.6,-.3,.1
11814,0,1,66.7469,-.1804,1.76,.5,.1
11817,0,0,48.5244,-.5512,1.16,1.31,1.62
11818,0,1,29.2149,-.1792,-1.73, , 
11821,0,0,42.3127,-1.0215,.6,-.3,.1
11823,1,0,54.164,.0721,-1.73,-.93,.1
11824,1,0,32.0036,-.5465,.03,.27,-.29
11827,0,1,52.0217,-.874,1.76, ,-1.41
11829,0,1,44.2704,.3323,.6,-.3,.1
11833,1,1,51.0798,-.2751,-.57,-1.56,-.58
11838,0,1,66.8523,.1587,1.19,.9,.27
11844, ,0, , , , , 
11851,1,0,54.4482,-.6714,1.76,.27,1.62
11856,0,1,51.7271,.093,.03,-.3,.1
11857,1,0,53.5213,.275,.03,-.3,1.62
11867,0,0,56.3664,.4659,-.57,.27,.49
11868, ,1, , , , , 
11874,1,0,64.5938,.3412,.6,-.3,-.56
11877,1,1,50.2445,-.1765,1.76,1.31,1.62
11881,1,0,31.7986,-.7751,-.53,-.3,-2.65
11883,1,0,33.399,.2488,-1.73,-3.51,-2.92
11884,0,1,48.7258,-.4924,.03,1.31,.1
11886,0,1,29.8185,-.3554,-1.73,.1,-2.92
11890,0,0,24.4658,-1.0736,-1.73, , 
